#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 08 19 50  99  6.7  8.3  2.27 14.81  6.52 280 1022.1  22.4  22.8 999.0 99.0 99.00
2018 01 08 20 50  96  6.9  8.4  2.08 12.90  6.58 293 1021.7  22.4  22.9 999.0 99.0 99.00
2018 01 08 21 50 105  6.1  7.3  2.22 12.90  6.87 301 1020.9  22.4  22.9 999.0 99.0 99.00
2018 01 08 22 50  93  5.9  7.5  2.16 13.79  7.00 291 1019.9  22.3  23.0 999.0 99.0 99.00
2018 01 08 23 50  91  6.1  7.5  1.96 12.90  6.50 314 1019.0  22.3  23.0 999.0 99.0 99.00
2018 01 09 00 50  97  6.2  7.6  2.09 12.12  6.87 308 1018.4  22.4  23.0 999.0 99.0 99.00
2018 01 09 01 50  97  6.7  8.3  2.11 13.79  7.10 298 1018.1  22.4  23.0 999.0 99.0 99.00
2018 01 09 02 50 106  7.6  9.0  1.84 12.90  6.44 297 1018.3  22.4  23.0 999.0 99.0 99.00
2018 01 09 03 50 101  6.8  8.7  2.12 13.79  6.84 289 1018.9  22.3  22.9 999.0 99.0 99.00
2018 01 09 04 50 103  7.3  8.8  1.93  7.69  6.52  96 1019.5  22.3  22.9 999.0 99.0 99.00
2018 01 09 05 50 111  6.1  8.0  1.97 13.79  6.72 290 1020.1  22.4  22.9 999.0 99.0 99.00
2018 01 09 06 50 112  6.7  8.3  1.92 12.90  6.61 296 1020.4  22.4  22.9 999.0 99.0 99.00
2018 01 09 07 50 105  6.4  7.6  1.97 13.79  6.68 280 1020.4  22.2  22.8 999.0 99.0 99.00
2018 01 09 08 50 103  6.6  8.0  2.06 13.79  7.05 268 1020.3  22.2  22.8 999.0 99.0 99.00
2018 01 09 09 50  95  6.4  7.9  1.97 12.90  6.72 282 1020.3  22.3  22.8 999.0 99.0 99.00
2018 01 09 10 50 115  7.0  8.9  1.84 13.79  6.41 259 1020.0  22.2  22.8 999.0 99.0 99.00
2018 01 09 11 50 113  6.9  8.5  1.78 12.90  6.12 287 1019.9  22.2  22.8 999.0 99.0 99.00
2018 01 09 12 50 116  6.6  8.2  1.83 12.90  6.52 286 1019.6  22.3  22.8 999.0 99.0 99.00
2018 01 09 13 50 110  5.3  6.6  1.89 12.12  6.75 304 1019.4  22.1  22.8 999.0 99.0 99.00
2018 01 09 14 50 127  5.3  6.4  1.75 13.79  6.70 293 1019.4  22.1  22.8 999.0 99.0 99.00
2018 01 09 15 50 104  7.0  8.5  1.98  8.33  6.83  98 1019.4  22.0  22.8 999.0 99.0 99.00
2018 01 09 16 50 113  7.0  8.5  1.90 13.79  6.81 292 1019.8  22.1  22.8 999.0 99.0 99.00
2018 01 09 17 50 117  7.4  8.9  1.91 13.79  6.81 284 1020.1  22.5  22.8 999.0 99.0 99.00
2018 01 09 18 50 118  7.3  8.7  2.00 13.79  6.80 292 1020.4  22.8  22.8 999.0 99.0 99.00
2018 01 09 19 50 111  7.2  8.8  1.93 13.79  6.71 289 1020.7  22.6  22.8 999.0 99.0 99.00
2018 01 09 20 50 115  6.8  8.2  1.81 10.81  6.37  53 1020.6  22.6  22.9 999.0 99.0 99.00
2018 01 09 21 50 111  7.1  8.7  1.89 12.12  6.67 342 1019.8  22.6  22.9 999.0 99.0 99.00
2018 01 09 22 50 111  7.7  9.3  1.97 10.81  6.51  26 1018.5  22.5  22.9 999.0 99.0 99.00
2018 01 09 23 50 114  8.4  9.9  1.98 13.79  6.44 312 1017.8  22.7  22.9 999.0 99.0 99.00
2018 01 10 00 50 112  8.1  9.5  1.85 13.79  6.08 287 1017.2  22.7  22.9 999.0 99.0 99.00
2018 01 10 01 50 116  8.5 10.2  1.99 11.43  6.09 334 1017.1  22.7  22.9 999.0 99.0 99.00
2018 01 10 02 50 123  9.1 10.6  1.88 12.90  5.97 288 1017.2  22.7  22.9 999.0 99.0 99.00
2018 01 10 03 50 116  9.0 11.3  2.15 10.81  6.16  63 1017.7  22.6  22.9 999.0 99.0 99.00
2018 01 10 04 50 119  8.8 10.9  2.24 19.05  6.32 269 1018.2  22.6  22.8 999.0 99.0 99.00
2018 01 10 05 50 120  9.0 10.7  2.04 10.00  5.89  23 1018.6  22.5  22.8 999.0 99.0 99.00
2018 01 10 06 50 123  8.1 10.0  2.14 12.90  6.00 268 1019.3  22.6  22.8 999.0 99.0 99.00
2018 01 10 07 50 122  6.8  8.4  2.06  6.25  6.19 113 1020.2  22.7  22.8 999.0 99.0 99.00
2018 01 10 08 50 129  5.4  6.3  2.22 19.05  6.35 296 1020.6  22.6  22.8 999.0 99.0 99.00
2018 01 10 09 50 125  5.8  6.9  2.09 19.05  6.74 301 1020.4  22.5  22.8 999.0 99.0 99.00
2018 01 10 10 50 117  5.2  6.6  2.15 17.39  7.13 267 1020.1  22.5  22.8 999.0 99.0 99.00
